"id","Phenotype"
"10","Acetylation, slow(243400)"
"100","Negative, due to adenosine deaminase deficiency(102700)"
"1000","Arrhythmogenic right ventricular dysplasia, familial, 14(618920)|Agenesis of corpus callosum, cardiac, ocular, and genital syndrome(618929)"
"10000","Hydrocephalus syndrome 2(615937)"
"10002","Cone syndrome(268100)|Retinitis pigmentosa 37(611131)"
"100033413","Willi syndrome(176270)"
"10008","Brugada syndrome 6(613119)"
"1001","Ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome(225280)|Hypotrichosis, congenital, with juvenile macular dystrophy(601553)"
"10011","Hypogonadotropic hypogonadism 7 with or without anosmia(146110)"
"100128927","Lethal congenital contracture syndrome 6(616248)"
"10013","Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia(300863)"
"100131801","Mitochondrial complex iv deficiency, nuclear type 12(619055)"
"100134444","Thyrotoxic periodic paralysis, susceptibility to, 2(613239)"
"100144748","Cowden syndrome 4(615107)"
"100147744","Goutieres syndrome 9(619487)"
"100151683","Microcephalic osteodysplastic primordial dwarfism, type i(210710)|Wood syndrome(226960)|Roifman syndrome(616651)"
"10019","Erythrocytosis, familial, 1(133100)|Thrombocythemia 1(187950)|Myelofibrosis(254450)"
"10020","Sialuria(269921)|Nonaka myopathy(605820)"
"10021","Sick sinus syndrome 2(163800)|Brugada syndrome 8(613123)|Epilepsy, idiopathic generalized, susceptibility to, 18(619521)"
"10026","Neurodevelopmental disorder with hypotonia and cerebellar atrophy, with or without seizures(618879)"
"100303755","Mitochondrial complex iv deficiency, nuclear type 19(619063)"
"100422910","Bone mineral density quantitative trait locus 15(613418)"
"10043","Immunodeficiency 85 and autoimmunity(619510)"
"10046","Linked(300758)"
"10049","Girdle, autosomal dominant 1(603511)"
"100506658","Torch syndrome 1(251290)"
"10056","Rajab interstitial lung disease with brain calcifications 1(613658)"
"10058","Blood group, langereis system(111600)|Pseudohyperkalemia, familial, 2, due to red cell leak(609153)|Microphthalmia, isolated, with coloboma 7(614497)|Dyschromatosis universalis hereditaria 3(615402)"
"10059","Optic atrophy 5(610708)|Encephalopathy due to defective mitochondrial and peroxisomal fission 1(614388)"
"10060","Cantu syndrome(239850)|Cardiomyopathy, dilated, 1o(608569)|Atrial fibrillation, familial, 12(614050)"
"10068","Hepatitis, fulminant viral, susceptibility to(618549)"
"10075","Linked, syndromic, turner type(309590)"
"10082","Omodysplasia 1(258315)"
"10083","Usher syndrome, type i(276900)|Usher syndrome, type ic(276904)|Deafness, autosomal recessive 18a(602092)"
"10084","Renpenning syndrome 1(309500)"
"10087","Mental retardation, autosomal dominant 34(616351)"
"1009","Waters syndrome(211380)"
"10095","Immunodeficiency 71 with inflammatory disease and congenital thrombocytopenia(617718)"
"100996717","Neuronal intranuclear inclusion disease(603472)|Tremor, hereditary essential, 6(618866)|Oculopharyngodistal myopathy 3(619473)"
"10102","Combined oxidative phosphorylation deficiency 3(610505)"
"101060691","Oculopharyngeal myopathy with leukoencephalopathy 1(618637)"
"10108","Willi syndrome(176270)"
"10111","Like disorder(613078)"
"10112","Cardiomyopathy, familial restrictive, 6(619433)"
"10117","Amelogenesis imperfecta, type ib(104500)|Amelogenesis imperfecta, type ic(204650)"
"10125","Immunodeficiency 64(618534)"
"10126","Mirror movements 3(616059)"
"10128","Mitochondrial complex iv deficiency, nuclear type 5(220111)"
"1013","Mental retardation, autosomal dominant 3(612580)"
"10133","Glaucoma, primary open angle(137760)|Glaucoma, normal tension, susceptibility to(606657)|Amyotrophic lateral sclerosis 12 with or without frontotemporal dementia(613435)"
"10134","Deafness, dystonia, and cerebral hypomyelination(300475)"
"10137","Schizophrenia 19(617629)"
"10142","Long qt syndrome 11(611820)"
"10149","Linked(300985)"
"10157","Hyperlysinemia, type i(238700)"
"10159","Linked, syndromic, hedera type(300423)|Linked(300911)|Congenital disorder of glycosylation, type iir(301045)"
"10161","Hypotrichosis 8(278150)"
"10165","Onset(603471)|Onset(605814)"
"10166","Homocitrullinuria syndrome(238970)"
"1019","Melanoma, cutaneous malignant, susceptibility to, 3(609048)"
"10194","Aural atresia, congenital(607842)"
"10195","Congenital disorder of glycosylation, type id(601110)"
"102","Reticulate acropigmentation of kitamura(615537)|Alzheimer disease 18(615590)"
"1020","Lissencephaly 7 with cerebellar hypoplasia(616342)"
"10203","Lymphatic malformation 8(618773)"
"10205","Deafness, autosomal recessive 111(618145)"
"1021","Microcephaly 12, primary, autosomal recessive(616080)"
"10210","Retinitis pigmentosa 31(609923)"
"10216","Pericarditis syndrome(208250)"
"10220","Vertebral hypersegmentation and orofacial anomalies(619122)"
"10225","C syndrome(211750)"
"10229","Coenzyme q10 deficiency, primary, 8(616733)"
"10235","Type, 18(615888)"
"1024","Intellectual developmental disorder with hypotonia and behavioral abnormalities(618748)"
"10243","Hyperekplexia 1(149400)|Molybdenum cofactor deficiency, complementation group c(615501)"
"10253","Iga nephropathy, susceptibility to, 3(616818)"
"10262","Acrofacial dysostosis 1, nager type(154400)"
"10265","Hamamy syndrome(611174)"
"10269","Restrictive dermopathy, lethal(275210)|Mandibuloacral dysplasia with type b lipodystrophy(608612)"
"1027","Multiple endocrine neoplasia, type iv(610755)"
"10273","Spinocerebellar ataxia, autosomal recessive 16(615768)|Spinocerebellar ataxia 48(618093)"
"10274","Mental retardation, autosomal dominant 47(617635)"
"1028","Wiedemann syndrome(130650)|Intrauterine growth retardation, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies(614732)"
"10280","Spinal muscular atrophy, distal, autosomal recessive, 2(605726)|Amyotrophic lateral sclerosis 16, juvenile(614373)"
