Gene,OMIM_en,OMIM_cn
FIG4,"Amyotrophic lateral sclerosis 11(OMIM:612577, AD);Yunis-Varon syndrome(OMIM:216340, AR);Charcot-Marie-Tooth disease, type 4J(OMIM:611228, AR);?Polymicrogyria, bilateral temporooccipital(OMIM:612691, AR)","肌萎缩侧索硬化症 11(OMIM:612577, AD);尤尼斯-瓦隆综合征(OMIM:216340, AR);Charcot-Marie-Tooth 病，4J 型(OMIM:611228, AR);? 多小脑回，双侧颞枕部(OMIM:612691, AR)"
PLA2G2A,"{?Colorectal cancer, susceptibility to}(OMIM:114500, AD, SMu)","{?大肠癌，易感性}(OMIM:114500, AD, SMu)"
SMC1A,"Cornelia de Lange syndrome 2(OMIM:300590, XLD);Developmental and epileptic encephalopathy 85, with or without midline brain defects(OMIM:301044, XLD)","Cornelia de Lange 综合征 2(OMIM:300590, XLD);发育性和癫痫性脑病 85，伴或不伴中线脑缺损(OMIM:301044, XLD)"
STK4,"T-cell immunodeficiency, recurrent infections, autoimmunity, and cardiac malformations(OMIM:614868, nan)","T细胞免疫缺陷、反复感染、自身免疫和心脏畸形(OMIM:614868, nan)"
DEF6,"Immunodeficiency 87 and autoimmunity(OMIM:619573, AR)","免疫缺陷 87 和自身免疫(OMIM:619573, AR)"
ITGB3,"Glanzmann thrombasthenia 2(OMIM:619267, nan);Bleeding disorder, platelet-type, 24, autosomal dominant(OMIM:619271, nan);{Myocardial infarction, susceptibility to}(OMIM:608446, nan)","Glanzmann 血小板无力症 2(OMIM:619267, nan);出血性疾病，血小板型，24，常染色体显性遗传(OMIM:619271, nan);{心肌梗塞，易感性}(OMIM:608446, nan)"
GAS8,"Ciliary dyskinesia, primary, 33(OMIM:616726, AR)","纤毛运动障碍，原发性，33(OMIM:616726, AR)"
LHX3,"Pituitary hormone deficiency, combined, 3(OMIM:221750, AR)","垂体激素缺乏，联合，3(OMIM:221750, AR)"
CRYBB3,"Cataract 22(OMIM:609741, AD, AR)","白内障 22(OMIM:609741, AD, AR)"
MCOPCB4,"Microphthalmia, isolated, with coloboma 4(OMIM:251505, AR)","小眼炎，孤立的，伴有缺损 4(OMIM:251505, AR)"
ITM2B,"Dementia, familial Danish(OMIM:117300, AD);Dementia, familial British(OMIM:176500, AD);?Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities(OMIM:616079, AD)","痴呆症，家族性丹麦人(OMIM:117300, AD);痴呆症，家族性英国人(OMIM:176500, AD);?视网膜营养不良伴视网膜内功能障碍和神经节细胞异常(OMIM:616079, AD)"
RAB3GAP1,"Warburg micro syndrome 1(OMIM:600118, AR);Martsolf syndrome 2(OMIM:619420, AR)","Warburg 微综合征 1(OMIM:600118, AR);Martsolf 综合征 2(OMIM:619420, AR)"
ICR1,"Beckwith-Wiedemann syndrome(OMIM:130650, AD);Silver-Russell syndrome 1(OMIM:180860, AD);Wilms tumor 2(OMIM:194071, AD, SMu)","Beckwith-Wiedemann 综合征(OMIM:130650, AD);Silver-Russell 综合征 1(OMIM:180860, AD);肾母细胞瘤 2(OMIM:194071, AD, SMu)"
CYP2D6,"{Debrisoquine sensitivity}(OMIM:608902, AR);{Codeine sensitivity}(OMIM:608902, AR)","{Debrisoquine 敏感性}(OMIM:608902, AR);{可待因敏感性}(OMIM:608902, AR)"
EA3,"Episodic ataxia, type 3(OMIM:606554, AD)","发作性共济失调，3 型(OMIM:606554, AD)"
G6PD,"Hemolytic anemia, G6PD deficient (favism)(OMIM:300908, XLD);{Resistance to malaria due to G6PD deficiency}(OMIM:611162, nan)","溶血性贫血，G6PD 缺乏症（favism）(OMIM:300908, XLD);{G6PD缺乏症对疟疾的抵抗力}(OMIM:611162, nan)"
MPDU1,"Congenital disorder of glycosylation, type If(OMIM:609180, AR)","先天性糖基化障碍，If型(OMIM:609180, AR)"
MPZ,"Charcot-Marie-Tooth disease, type 1B(OMIM:118200, AD);Dejerine-Sottas disease(OMIM:145900, AD, AR);Roussy-Levy syndrome(OMIM:180800, AD);Charcot-Marie-Tooth disease, type 2I(OMIM:607677, AD);Charcot-Marie-Tooth disease, type 2J(OMIM:607736, AD);Charcot-Marie-Tooth disease, dominant intermediate D(OMIM:607791, AD);Hypomyelinating neuropathy, congenital, 2(OMIM:618184, AD)","Charcot-Marie-Tooth 病，1B 型(OMIM:118200, AD);德杰林-索塔斯病(OMIM:145900, AD, AR);Roussy-Levy 综合征(OMIM:180800, AD);Charcot-Marie-Tooth 病，2I 型(OMIM:607677, AD);Charcot-Marie-Tooth 病，2J 型(OMIM:607736, AD);Charcot-Marie-Tooth 病，显性中间 D(OMIM:607791, AD);先天性低髓鞘性神经病，2(OMIM:618184, AD)"
SYNE1,"Spinocerebellar ataxia, autosomal recessive 8(OMIM:610743, AR);Emery-Dreifuss muscular dystrophy 4, autosomal dominant(OMIM:612998, AD);Arthrogryposis multiplex congenita 3, myogenic type(OMIM:618484, AR)","脊髓小脑性共济失调，常染色体隐性遗传 8(OMIM:610743, AR);Emery-Dreifuss 肌营养不良症 4，常染色体显性遗传(OMIM:612998, AD);先天性多发性关节弯曲症 3，肌源性(OMIM:618484, AR)"
SNORA31,"{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 10}(OMIM:619396, AD)","{脑病，急性，感染诱发（疱疹特异性），易感性，10}(OMIM:619396, AD)"
RAD51,"{Breast cancer, susceptibility to}(OMIM:114480, AD, SMu);Mirror movements 2(OMIM:614508, AD);Fanconi anemia, complementation group R(OMIM:617244, AD)","{乳腺癌，易感性}(OMIM:114480, AD, SMu);镜像动作 2(OMIM:614508, AD);范可尼贫血，互补组 R(OMIM:617244, AD)"
CYP4F22,"Ichthyosis, congenital, autosomal recessive 5(OMIM:604777, AR)","鱼鳞病，先天性，常染色体隐性遗传 5(OMIM:604777, AR)"
